country,year,uniqueid,location_type,cellphone_access,household_size,age_of_respondent,gender_of_respondent,relationship_with_head,marital_status,education_level,job_type
Kenya,2018,uniqueid_4466,Urban,Yes,5,34,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Private
Rwanda,2016,uniqueid_682,Rural,Yes,6,35,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_1841,Rural,No,7,30,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_758,Rural,Yes,5,28,Female,Child,Single/Never Married,Tertiary education,Formally employed Private
Kenya,2018,uniqueid_3552,Urban,Yes,3,32,Female,Spouse,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_2632,Rural,Yes,5,30,Female,Other non-relatives,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_8351,Rural,No,10,23,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Tanzania,2017,uniqueid_4705,Urban,No,2,65,Female,Head of Household,Widowed,No formal education,Remittance Dependent
Rwanda,2016,uniqueid_1534,Rural,Yes,4,45,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,uniqueid_5460,Rural,Yes,6,53,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Tanzania,2017,uniqueid_1927,Rural,Yes,2,40,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Formally employed Private
Tanzania,2017,uniqueid_5809,Urban,Yes,2,27,Female,Spouse,Single/Never Married,Tertiary education,Formally employed Private
Uganda,2018,uniqueid_897,Rural,No,4,23,Female,Spouse,Married/Living together,Primary education,Other Income
Tanzania,2017,uniqueid_1250,Rural,Yes,3,24,Female,Parent,Divorced/Seperated,Tertiary education,Self employed
Uganda,2018,uniqueid_1826,Rural,Yes,3,40,Female,Head of Household,Married/Living together,Secondary education,Self employed
Rwanda,2016,uniqueid_6648,Rural,Yes,7,28,Female,Child,Single/Never Married,No formal education,Self employed
Rwanda,2016,uniqueid_2948,Rural,Yes,5,33,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_6521,Rural,Yes,5,39,Female,Spouse,Married/Living together,Vocational/Specialised training,Self employed
Rwanda,2016,uniqueid_5790,Urban,Yes,4,38,Male,Head of Household,Married/Living together,Tertiary education,Other Income
Rwanda,2016,uniqueid_5513,Rural,Yes,4,53,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_1222,Rural,Yes,3,23,Male,Other relative,Divorced/Seperated,Tertiary education,No Income
Tanzania,2017,uniqueid_4890,Urban,No,3,76,Female,Spouse,Single/Never Married,No formal education,Informally employed
Rwanda,2016,uniqueid_8376,Urban,Yes,7,51,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_6618,Rural,Yes,2,20,Female,Child,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_2488,Rural,No,3,25,Female,Head of Household,Divorced/Seperated,No formal education,Other Income
Rwanda,2016,uniqueid_6750,Rural,No,1,73,Female,Head of Household,Widowed,No formal education,Government Dependent
Kenya,2018,uniqueid_2638,Rural,Yes,2,52,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_3567,Rural,Yes,5,26,Male,Head of Household,Married/Living together,Secondary education,Self employed
Rwanda,2016,uniqueid_6567,Rural,Yes,6,29,Female,Spouse,Married/Living together,No formal education,Self employed
Rwanda,2016,uniqueid_7233,Rural,No,8,44,Female,Spouse,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_3200,Urban,No,1,62,Male,Head of Household,Single/Never Married,No formal education,Self employed
Kenya,2018,uniqueid_4998,Rural,Yes,5,45,Male,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_2770,Rural,Yes,4,46,Male,Child,Single/Never Married,Secondary education,Informally employed
Kenya,2018,uniqueid_4620,Rural,Yes,3,42,Female,Spouse,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_4421,Rural,Yes,4,54,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_2421,Urban,No,2,27,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_1731,Urban,Yes,2,51,Female,Head of Household,Widowed,No formal education,Informally employed
Tanzania,2017,uniqueid_3216,Urban,No,2,23,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_1454,Urban,Yes,2,47,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Tanzania,2017,uniqueid_6086,Urban,No,1,81,Female,Head of Household,Widowed,Primary education,Informally employed
Rwanda,2016,uniqueid_809,Rural,Yes,5,39,Male,Head of Household,Married/Living together,No formal education,Informally employed
Kenya,2018,uniqueid_2455,Rural,No,9,17,Male,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,uniqueid_366,Rural,No,1,72,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_4960,Rural,Yes,2,45,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_4626,Urban,Yes,4,50,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_5414,Rural,Yes,4,45,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_3786,Urban,Yes,2,70,Male,Head of Household,Single/Never Married,No formal education,Informally employed
Tanzania,2017,uniqueid_6199,Urban,No,3,55,Female,Other relative,Widowed,No formal education,Informally employed
Kenya,2018,uniqueid_655,Rural,Yes,5,36,Female,Head of Household,Widowed,Primary education,Informally employed
Tanzania,2017,uniqueid_5075,Urban,Yes,2,40,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_8583,Rural,Yes,1,73,Female,Head of Household,Widowed,No formal education,Government Dependent
Rwanda,2016,uniqueid_7422,Rural,No,3,49,Female,Spouse,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_82,Urban,No,2,31,Female,Spouse,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_93,Urban,Yes,10,21,Female,Parent,Single/Never Married,Tertiary education,Remittance Dependent
Tanzania,2017,uniqueid_3972,Rural,Yes,1,42,Female,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_4987,Rural,Yes,2,64,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_1911,Rural,Yes,1,25,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
Rwanda,2016,uniqueid_1274,Rural,Yes,4,28,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_5019,Urban,Yes,4,50,Female,Head of Household,Widowed,Primary education,Self employed
Kenya,2018,uniqueid_1243,Rural,Yes,4,32,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_818,Rural,Yes,3,30,Male,Head of Household,Married/Living together,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_2898,Rural,Yes,4,49,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_5386,Rural,Yes,3,65,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Tanzania,2017,uniqueid_6599,Urban,Yes,2,29,Male,Head of Household,Single/Never Married,No formal education,Self employed
Rwanda,2016,uniqueid_4929,Rural,Yes,8,44,Female,Spouse,Married/Living together,No formal education,Informally employed
Tanzania,2017,uniqueid_2960,Urban,Yes,3,25,Female,Parent,Married/Living together,Primary education,Informally employed
Uganda,2018,uniqueid_805,Rural,Yes,3,24,Female,Spouse,Married/Living together,Secondary education,Self employed
Tanzania,2017,uniqueid_6049,Rural,Yes,2,23,Male,Other relative,Divorced/Seperated,Tertiary education,Informally employed
Kenya,2018,uniqueid_4410,Rural,Yes,3,28,Male,Head of Household,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_4820,Rural,Yes,2,37,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_147,Rural,Yes,4,26,Male,Parent,Single/Never Married,No formal education,Farming and Fishing
Kenya,2018,uniqueid_2792,Rural,Yes,3,55,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_6521,Urban,No,2,38,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_3924,Urban,Yes,1,28,Male,Head of Household,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_5821,Urban,Yes,1,22,Female,Head of Household,Single/Never Married,Secondary education,Formally employed Private
Tanzania,2017,uniqueid_1996,Urban,No,1,41,Female,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_6710,Urban,Yes,3,30,Male,Head of Household,Married/Living together,No formal education,Self employed
Rwanda,2016,uniqueid_6179,Rural,Yes,4,29,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Rwanda,2016,uniqueid_7760,Rural,Yes,8,44,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Uganda,2018,uniqueid_1415,Rural,No,7,61,Male,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_3149,Rural,Yes,3,54,Female,Head of Household,Widowed,No formal education,Informally employed
Rwanda,2016,uniqueid_5784,Rural,Yes,5,35,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Rwanda,2016,uniqueid_3993,Urban,Yes,5,43,Male,Head of Household,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_3207,Rural,No,3,52,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_1877,Urban,Yes,1,40,Male,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_3772,Rural,Yes,4,28,Male,Head of Household,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_185,Rural,Yes,7,34,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Tanzania,2017,uniqueid_3176,Urban,Yes,4,48,Female,Spouse,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_6715,Urban,Yes,4,36,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
Uganda,2018,uniqueid_1590,Urban,Yes,9,41,Female,Spouse,Married/Living together,Primary education,Other Income
Uganda,2018,uniqueid_340,Urban,No,4,16,Female,Other relative,Single/Never Married,Secondary education,Other Income
Kenya,2018,uniqueid_5357,Rural,Yes,5,62,Male,Head of Household,Married/Living together,No formal education,Other Income
Kenya,2018,uniqueid_6009,Rural,Yes,2,60,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_541,Urban,Yes,1,33,Male,Head of Household,Married/Living together,Secondary education,Self employed
Tanzania,2017,uniqueid_1373,Rural,Yes,3,33,Female,Spouse,Single/Never Married,Tertiary education,Informally employed
Uganda,2018,uniqueid_630,Urban,Yes,4,23,Female,Head of Household,Married/Living together,Primary education,Dont Know/Refuse to answer
Rwanda,2016,uniqueid_4377,Rural,No,1,70,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_2270,Urban,Yes,5,22,Male,Child,Single/Never Married,Secondary education,Remittance Dependent
Tanzania,2017,uniqueid_5808,Urban,No,2,25,Male,Parent,Divorced/Seperated,Primary education,Informally employed
Rwanda,2016,uniqueid_1233,Rural,Yes,7,67,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_5233,Urban,Yes,8,42,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Rwanda,2016,uniqueid_4729,Rural,Yes,5,52,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
Uganda,2018,uniqueid_1848,Rural,No,3,30,Female,Spouse,Married/Living together,Primary education,No Income
Kenya,2018,uniqueid_2300,Urban,No,5,65,Female,Head of Household,Widowed,No formal education,Self employed
Rwanda,2016,uniqueid_4469,Rural,Yes,4,16,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
Tanzania,2017,uniqueid_5000,Rural,Yes,2,21,Female,Spouse,Single/Never Married,Secondary education,Self employed
Rwanda,2016,uniqueid_4413,Rural,Yes,10,33,Male,Other non-relatives,Single/Never Married,No formal education,Informally employed
Kenya,2018,uniqueid_2617,Urban,Yes,5,48,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Tanzania,2017,uniqueid_668,Rural,Yes,3,43,Male,Head of Household,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_4549,Rural,Yes,3,46,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_1728,Urban,Yes,2,59,Female,Spouse,Single/Never Married,No formal education,Informally employed
Kenya,2018,uniqueid_1900,Urban,Yes,2,38,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
Tanzania,2017,uniqueid_2823,Urban,No,2,26,Male,Head of Household,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_2002,Urban,Yes,2,40,Female,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_669,Rural,Yes,4,40,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_2407,Urban,No,1,22,Female,Head of Household,Widowed,Primary education,Self employed
Tanzania,2017,uniqueid_5479,Urban,Yes,2,27,Female,Spouse,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_8550,Rural,Yes,1,29,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_5060,Rural,No,5,35,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_4506,Urban,Yes,1,66,Male,Head of Household,Widowed,Primary education,Self employed
Kenya,2018,uniqueid_5128,Urban,Yes,5,28,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_1667,Rural,Yes,5,17,Male,Child,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_2822,Rural,Yes,5,43,Male,Head of Household,Married/Living together,Secondary education,Informally employed
Rwanda,2016,uniqueid_2999,Rural,No,2,25,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_208,Rural,Yes,1,42,Male,Head of Household,Single/Never Married,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_33,Urban,Yes,1,25,Female,Head of Household,Married/Living together,Primary education,Remittance Dependent
Tanzania,2017,uniqueid_234,Urban,No,3,70,Female,Child,Married/Living together,No formal education,Government Dependent
Tanzania,2017,uniqueid_1779,Urban,No,2,17,Male,Other relative,Divorced/Seperated,Primary education,No Income
Rwanda,2016,uniqueid_5490,Rural,Yes,2,81,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Uganda,2018,uniqueid_1025,Rural,Yes,9,44,Male,Head of Household,Married/Living together,Primary education,Other Income
Tanzania,2017,uniqueid_2449,Urban,Yes,4,26,Male,Parent,Divorced/Seperated,Primary education,Informally employed
Tanzania,2017,uniqueid_2067,Urban,No,2,29,Female,Spouse,Single/Never Married,No formal education,Self employed
Kenya,2018,uniqueid_5913,Urban,Yes,4,40,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Private
Tanzania,2017,uniqueid_2080,Urban,No,4,48,Male,Head of Household,Single/Never Married,Primary education,Self employed
Uganda,2018,uniqueid_1244,Rural,Yes,5,24,Female,Spouse,Married/Living together,Secondary education,Dont Know/Refuse to answer
Tanzania,2017,uniqueid_6251,Urban,Yes,2,76,Female,Spouse,Single/Never Married,Primary education,No Income
Kenya,2018,uniqueid_3467,Urban,Yes,5,43,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Uganda,2018,uniqueid_896,Rural,Yes,3,43,Female,Head of Household,Widowed,No formal education,No Income
Kenya,2018,uniqueid_3566,Rural,Yes,8,29,Male,Other relative,Single/Never Married,Secondary education,Self employed
Kenya,2018,uniqueid_1495,Rural,Yes,8,59,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_4946,Rural,No,7,25,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_4559,Urban,Yes,3,70,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_415,Urban,Yes,2,75,Female,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_5987,Rural,Yes,7,57,Male,Head of Household,Married/Living together,No formal education,Informally employed
Tanzania,2017,uniqueid_2394,Urban,No,1,22,Male,Head of Household,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_1887,Rural,No,1,64,Female,Head of Household,Widowed,Primary education,Farming and Fishing
Uganda,2018,uniqueid_1369,Rural,Yes,6,75,Male,Head of Household,Married/Living together,Primary education,Self employed
Tanzania,2017,uniqueid_4310,Urban,No,1,35,Female,Head of Household,Married/Living together,Primary education,Self employed
Rwanda,2016,uniqueid_6893,Rural,Yes,3,26,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_5409,Rural,Yes,6,38,Female,Spouse,Married/Living together,No formal education,Informally employed
Tanzania,2017,uniqueid_3488,Urban,Yes,2,71,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_5716,Rural,Yes,8,37,Male,Head of Household,Married/Living together,Secondary education,Self employed
Rwanda,2016,uniqueid_2965,Urban,Yes,4,35,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_1471,Rural,No,4,17,Male,Child,Single/Never Married,Primary education,Remittance Dependent
Kenya,2018,uniqueid_3539,Urban,Yes,4,50,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_4602,Rural,Yes,10,44,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Tanzania,2017,uniqueid_2536,Urban,Yes,2,37,Female,Spouse,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_985,Rural,Yes,3,55,Male,Head of Household,Widowed,Primary education,Farming and Fishing
Kenya,2018,uniqueid_5138,Urban,Yes,7,52,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_1450,Urban,Yes,2,31,Female,Spouse,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_306,Rural,Yes,2,34,Male,Head of Household,Married/Living together,Primary education,Informally employed
Uganda,2018,uniqueid_281,Rural,No,2,19,Female,Head of Household,Married/Living together,Primary education,Other Income
Tanzania,2017,uniqueid_6068,Urban,No,2,52,Female,Spouse,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_4152,Rural,Yes,7,49,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_4340,Rural,Yes,1,51,Female,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_3790,Rural,Yes,7,22,Female,Other relative,Married/Living together,Primary education,Informally employed
Kenya,2018,uniqueid_931,Rural,Yes,2,40,Female,Head of Household,Divorced/Seperated,Primary education,Informally employed
Kenya,2018,uniqueid_5256,Rural,Yes,3,42,Male,Head of Household,Divorced/Seperated,Primary education,Informally employed
Kenya,2018,uniqueid_3741,Urban,Yes,5,42,Male,Head of Household,Married/Living together,Tertiary education,Formally employed Private
Tanzania,2017,uniqueid_2305,Urban,Yes,2,42,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_8099,Rural,Yes,4,33,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_348,Rural,Yes,6,27,Female,Spouse,Married/Living together,Secondary education,Farming and Fishing
Uganda,2018,uniqueid_1741,Rural,Yes,2,25,Male,Spouse,Married/Living together,Primary education,Self employed
Uganda,2018,uniqueid_661,Rural,No,7,67,Female,Head of Household,Widowed,No formal education,Self employed
Rwanda,2016,uniqueid_2806,Rural,Yes,6,38,Female,Spouse,Married/Living together,No formal education,Self employed
Tanzania,2017,uniqueid_3718,Rural,Yes,3,48,Male,Head of Household,Married/Living together,Primary education,Self employed
Uganda,2018,uniqueid_804,Urban,Yes,4,38,Female,Head of Household,Divorced/Seperated,Primary education,Self employed
Rwanda,2016,uniqueid_422,Rural,Yes,4,75,Female,Spouse,Married/Living together,Primary education,Remittance Dependent
Rwanda,2016,uniqueid_402,Rural,No,6,42,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_1338,Rural,Yes,5,35,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_4124,Urban,No,2,40,Female,Spouse,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_4126,Rural,Yes,6,56,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_1926,Urban,Yes,2,50,Female,Spouse,Single/Never Married,Primary education,Self employed
Tanzania,2017,uniqueid_3050,Urban,Yes,4,25,Male,Parent,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_4511,Rural,No,10,76,Female,Head of Household,Married/Living together,No formal education,Remittance Dependent
Tanzania,2017,uniqueid_3000,Urban,No,2,39,Male,Head of Household,Single/Never Married,No formal education,Self employed
Kenya,2018,uniqueid_5024,Urban,No,10,17,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_1668,Rural,Yes,2,45,Female,Head of Household,Divorced/Seperated,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_76,Rural,No,5,34,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_4276,Rural,Yes,2,19,Female,Spouse,Single/Never Married,Primary education,Remittance Dependent
Tanzania,2017,uniqueid_2483,Urban,No,1,47,Female,Head of Household,Widowed,Primary education,Informally employed
Kenya,2018,uniqueid_4183,Rural,Yes,8,22,Male,Child,Single/Never Married,Primary education,Informally employed
Kenya,2018,uniqueid_1267,Rural,Yes,3,22,Female,Child,Widowed,Primary education,Self employed
Rwanda,2016,uniqueid_2162,Rural,Yes,4,18,Male,Parent,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_8726,Urban,Yes,1,48,Female,Head of Household,Widowed,Primary education,Other Income
Kenya,2018,uniqueid_5451,Rural,Yes,2,63,Male,Head of Household,Married/Living together,Vocational/Specialised training,Self employed
Rwanda,2016,uniqueid_3347,Rural,Yes,2,73,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_1406,Urban,Yes,4,39,Male,Head of Household,Married/Living together,Vocational/Specialised training,Formally employed Government
Tanzania,2017,uniqueid_5375,Rural,Yes,1,27,Male,Head of Household,Single/Never Married,Tertiary education,Formally employed Private
Rwanda,2016,uniqueid_3711,Rural,Yes,4,21,Male,Child,Single/Never Married,Primary education,Other Income
Rwanda,2016,uniqueid_2023,Rural,Yes,2,49,Male,Head of Household,Married/Living together,No formal education,Informally employed
Kenya,2018,uniqueid_3103,Urban,Yes,2,56,Female,Spouse,Married/Living together,Vocational/Specialised training,Self employed
Kenya,2018,uniqueid_4981,Rural,Yes,4,69,Female,Head of Household,Widowed,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_5602,Rural,Yes,7,48,Male,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_1076,Rural,Yes,4,18,Female,Child,Single/Never Married,Secondary education,Farming and Fishing
Rwanda,2016,uniqueid_3467,Urban,Yes,4,26,Female,Spouse,Married/Living together,Primary education,Self employed
Kenya,2018,uniqueid_2523,Urban,Yes,1,25,Male,Head of Household,Single/Never Married,Vocational/Specialised training,Informally employed
Tanzania,2017,uniqueid_4328,Rural,Yes,4,25,Female,Spouse,Single/Never Married,Primary education,No Income
Tanzania,2017,uniqueid_3112,Urban,No,2,20,Female,Spouse,Single/Never Married,Tertiary education,Remittance Dependent
Kenya,2018,uniqueid_2640,Rural,Yes,9,50,Male,Head of Household,Married/Living together,No formal education,Informally employed
Kenya,2018,uniqueid_3340,Rural,Yes,3,25,Male,Other non-relatives,Single/Never Married,Tertiary education,Farming and Fishing
Kenya,2018,uniqueid_3718,Urban,No,4,16,Female,Child,Single/Never Married,Secondary education,Remittance Dependent
Kenya,2018,uniqueid_4773,Rural,Yes,1,27,Male,Head of Household,Single/Never Married,Secondary education,Formally employed Private
Rwanda,2016,uniqueid_7806,Rural,No,4,35,Male,Head of Household,Married/Living together,No formal education,Informally employed
Rwanda,2016,uniqueid_3877,Urban,Yes,3,38,Male,Head of Household,Married/Living together,Other/Dont know/RTA,Informally employed
Kenya,2018,uniqueid_5084,Rural,No,1,80,Female,Head of Household,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_1088,Rural,Yes,4,26,Female,Spouse,Married/Living together,Primary education,Informally employed
Rwanda,2016,uniqueid_7831,Rural,Yes,2,25,Male,Head of Household,Married/Living together,Primary education,Informally employed
Uganda,2018,uniqueid_1334,Urban,Yes,2,51,Male,Head of Household,Divorced/Seperated,Primary education,Self employed
Rwanda,2016,uniqueid_5347,Rural,No,2,52,Female,Head of Household,Widowed,Primary education,Other Income
Uganda,2018,uniqueid_830,Urban,Yes,5,31,Female,Spouse,Married/Living together,Secondary education,Other Income
Rwanda,2016,uniqueid_7067,Rural,Yes,4,50,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_2808,Urban,No,2,25,Female,Spouse,Single/Never Married,Primary education,Informally employed
Rwanda,2016,uniqueid_6363,Rural,Yes,4,27,Female,Child,Single/Never Married,Primary education,Other Income
Tanzania,2017,uniqueid_4579,Urban,Yes,4,71,Female,Spouse,Single/Never Married,Primary education,Government Dependent
Rwanda,2016,uniqueid_1161,Rural,No,2,44,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Rwanda,2016,uniqueid_7021,Urban,Yes,7,35,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_3111,Urban,No,3,30,Female,Spouse,Single/Never Married,Primary education,Self employed
Kenya,2018,uniqueid_381,Rural,Yes,10,17,Female,Spouse,Single/Never Married,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_5760,Rural,Yes,2,56,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Rwanda,2016,uniqueid_8278,Urban,Yes,1,59,Male,Head of Household,Single/Never Married,Secondary education,Informally employed
Uganda,2018,uniqueid_853,Rural,Yes,4,30,Male,Head of Household,Married/Living together,Secondary education,Self employed
Kenya,2018,uniqueid_3042,Urban,Yes,1,46,Male,Head of Household,Single/Never Married,Secondary education,Farming and Fishing
Kenya,2018,uniqueid_3063,Urban,Yes,1,29,Male,Head of Household,Married/Living together,Secondary education,Formally employed Private
Rwanda,2016,uniqueid_7886,Rural,Yes,4,41,Male,Head of Household,Married/Living together,Primary education,Farming and Fishing
Kenya,2018,uniqueid_660,Urban,Yes,1,34,Male,Head of Household,Married/Living together,Primary education,Informally employed
Tanzania,2017,uniqueid_6343,Urban,No,3,34,Female,Spouse,Single/Never Married,No formal education,Self employed
Rwanda,2016,uniqueid_380,Rural,Yes,3,27,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_6387,Rural,Yes,1,20,Male,Head of Household,Divorced/Seperated,Primary education,Formally employed Private
Rwanda,2016,uniqueid_5791,Rural,Yes,4,60,Male,Head of Household,Married/Living together,Secondary education,Farming and Fishing
Tanzania,2017,uniqueid_2996,Urban,No,2,65,Male,Head of Household,Single/Never Married,Primary education,Self employed
Rwanda,2016,uniqueid_8425,Urban,Yes,7,38,Female,Spouse,Married/Living together,No formal education,Farming and Fishing
Kenya,2018,uniqueid_2741,Rural,Yes,3,59,Female,Spouse,Married/Living together,Primary education,Farming and Fishing
Tanzania,2017,uniqueid_6263,Urban,No,2,24,Female,Spouse,Single/Never Married,Primary education,Self employed
